
 customer no 1  and interarrival :0.916 minutes


 customer no 2  and interarrival :0.060 minutes


 customer no 3  and interarrival :1.777 minutes


 customer no 4  and interarrival :0.192 minutes


 customer no 5  and interarrival :0.843 minutes


 customer no 6  and interarrival :1.143 minutes


 customer no 7  and interarrival :1.479 minutes


 customer no 8  and interarrival :1.339 minutes


 customer no 9  and interarrival :0.051 minutes


 customer no 9  and interarrival :1.981 minutes


 customer no 11  and interarrival :0.717 minutes


 customer no 12  and interarrival :0.195 minutes


 customer no 13  and interarrival :0.188 minutes


 customer no 14  and interarrival :2.829 minutes


 customer no 15  and interarrival :0.467 minutes


 customer no 16  and interarrival :1.143 minutes


 customer no 17  and interarrival :0.568 minutes


 customer no 18  and interarrival :0.321 minutes


 customer no 18  and interarrival :0.292 minutes


 customer no 19  and interarrival :0.288 minutes


 customer no 20  and interarrival :0.677 minutes


 customer no 20  and interarrival :0.089 minutes


 customer no 20  and interarrival :0.272 minutes


 customer no 21  and interarrival :0.067 minutes


 customer no 21  and interarrival :0.237 minutes


 customer no 22  and interarrival :0.231 minutes


 customer no 23  and interarrival :0.194 minutes


 customer no 23  and interarrival :1.290 minutes


 customer no 28  and interarrival :0.974 minutes


 customer no 29  and interarrival :0.183 minutes


 customer no 29  and interarrival :0.328 minutes


 customer no 29  and interarrival :0.912 minutes


 customer no 33  and interarrival :0.674 minutes


 customer no 34  and interarrival :0.556 minutes


 customer no 35  and interarrival :2.221 minutes


 customer no 36  and interarrival :3.874 minutes


 customer no 37  and interarrival :0.177 minutes


 customer no 38  and interarrival :1.480 minutes


 customer no 39  and interarrival :0.688 minutes


 customer no 40  and interarrival :4.205 minutes


 customer no 41  and interarrival :0.411 minutes


 customer no 42  and interarrival :1.253 minutes


 customer no 43  and interarrival :0.044 minutes


 customer no 44  and interarrival :1.152 minutes


 customer no 44  and interarrival :0.197 minutes


 customer no 44  and interarrival :0.527 minutes


 customer no 45  and interarrival :0.589 minutes


 customer no 46  and interarrival :0.059 minutes


 customer no 46  and interarrival :0.730 minutes


 customer no 48  and interarrival :0.044 minutes


 customer no 48  and interarrival :1.085 minutes


 customer no 48  and interarrival :0.220 minutes


 customer no 49  and interarrival :0.267 minutes


 customer no 49  and interarrival :0.086 minutes


 customer no 49  and interarrival :1.439 minutes


 customer no 54  and interarrival :1.931 minutes


 customer no 57  and interarrival :0.068 minutes


 customer no 58  and interarrival :2.068 minutes


 customer no 59  and interarrival :2.749 minutes


 customer no 60  and interarrival :0.312 minutes


 customer no 61  and interarrival :0.852 minutes


 customer no 62  and interarrival :1.091 minutes


 customer no 63  and interarrival :0.890 minutes


 customer no 64  and interarrival :4.197 minutes


 customer no 65  and interarrival :0.540 minutes


 customer no 66  and interarrival :0.552 minutes


 customer no 67  and interarrival :1.929 minutes


 customer no 68  and interarrival :0.364 minutes


 customer no 69  and interarrival :0.179 minutes


 customer no 69  and interarrival :0.027 minutes


