
 customer no 1  and interarrival :0.561 minutes


 customer no 2  and interarrival :1.805 minutes


 customer no 3  and interarrival :2.226 minutes


 customer no 4  and interarrival :0.033 minutes


 customer no 5  and interarrival :0.279 minutes


 customer no 5  and interarrival :0.110 minutes


 customer no 5  and interarrival :0.157 minutes


 customer no 6  and interarrival :3.983 minutes


 customer no 9  and interarrival :1.716 minutes


 customer no 10  and interarrival :0.603 minutes


 customer no 11  and interarrival :0.918 minutes


 customer no 11  and interarrival :1.188 minutes


 customer no 13  and interarrival :0.895 minutes


 customer no 14  and interarrival :0.151 minutes


 customer no 15  and interarrival :0.735 minutes


 customer no 16  and interarrival :1.095 minutes


 customer no 17  and interarrival :1.239 minutes


 customer no 18  and interarrival :2.034 minutes


 customer no 19  and interarrival :0.770 minutes


 customer no 20  and interarrival :0.017 minutes


 customer no 21  and interarrival :0.168 minutes


 customer no 22  and interarrival :0.070 minutes


 customer no 23  and interarrival :3.190 minutes


 customer no 24  and interarrival :0.592 minutes


 customer no 25  and interarrival :1.146 minutes


 customer no 26  and interarrival :2.086 minutes


 customer no 27  and interarrival :0.243 minutes


 customer no 28  and interarrival :0.100 minutes


 customer no 28  and interarrival :0.009 minutes


 customer no 28  and interarrival :0.468 minutes


 customer no 29  and interarrival :4.226 minutes


 customer no 32  and interarrival :0.796 minutes


 customer no 33  and interarrival :0.268 minutes


 customer no 34  and interarrival :0.734 minutes


 customer no 35  and interarrival :1.196 minutes


 customer no 36  and interarrival :0.051 minutes


 customer no 37  and interarrival :0.105 minutes


 customer no 37  and interarrival :0.673 minutes


 customer no 38  and interarrival :0.013 minutes


 customer no 38  and interarrival :5.408 minutes


 customer no 41  and interarrival :1.620 minutes


 customer no 42  and interarrival :0.367 minutes


 customer no 43  and interarrival :0.821 minutes


 customer no 44  and interarrival :0.214 minutes


 customer no 44  and interarrival :0.198 minutes


 customer no 44  and interarrival :0.451 minutes


 customer no 47  and interarrival :0.427 minutes


 customer no 47  and interarrival :0.959 minutes


 customer no 48  and interarrival :0.450 minutes


 customer no 49  and interarrival :0.047 minutes


 customer no 49  and interarrival :0.645 minutes


 customer no 50  and interarrival :0.143 minutes


 customer no 51  and interarrival :2.210 minutes


 customer no 54  and interarrival :0.749 minutes


 customer no 55  and interarrival :3.001 minutes


 customer no 56  and interarrival :1.964 minutes


 customer no 57  and interarrival :0.208 minutes


 customer no 58  and interarrival :1.884 minutes


 customer no 59  and interarrival :0.688 minutes


 customer no 60  and interarrival :1.086 minutes


 customer no 61  and interarrival :0.133 minutes


 customer no 62  and interarrival :0.779 minutes


 customer no 63  and interarrival :0.977 minutes


 customer no 64  and interarrival :0.779 minutes


 customer no 65  and interarrival :0.114 minutes


 customer no 66  and interarrival :1.414 minutes


 customer no 67  and interarrival :1.344 minutes


 customer no 68  and interarrival :1.346 minutes


 customer no 69  and interarrival :0.614 minutes


 customer no 70  and interarrival :0.436 minutes


